iter	RMSE
0	107716.1361
1	103634.2097
2	99748.71629
3	96380.79978
4	93534.0454
5	91173.03011
6	88929.8036
7	86716.95242
8	84811.14943
9	83268.84781
10	81858.83038
11	80392.96957
12	79235.85229
13	78191.82482
14	77212.84319
15	76009.71232
16	74651.88693
17	73870.6019
18	73326.98515
19	72787.6961
20	72189.15236
21	71799.23776
22	71277.07919
23	70529.21307
24	70045.50605
25	69533.30072
26	69144.25996
27	68752.93359
28	67974.47691
29	67247.10887
30	66767.91378
31	66516.37423
32	66148.22328
33	65368.36017
34	65152.94767
35	64623.99255
36	64256.68357
37	63708.0318
38	63439.87026
39	63050.76437
40	62770.074
41	62588.25459
42	62239.56506
43	61918.58985
44	61763.65098
45	61564.60434
46	61348.0501
47	60964.32358
48	60790.4539
49	60514.56979
50	60288.08872
51	59825.10674
52	59646.31493
53	59457.53389
54	59310.4725
55	59160.26817
56	58731.29444
57	58396.01851
58	58075.08195
59	57904.18307
60	57685.31969
61	57443.33607
62	57068.7039
63	56945.94907
64	56798.81065
65	56718.29848
66	56616.15146
67	56417.97004
68	56142.81505
69	55984.40488
70	55690.41258
71	55528.69803
72	55320.05284
73	55112.26531
74	54932.8924
75	54777.15644
76	54530.28498
77	54279.0001
78	54074.14255
79	53779.33556
80	53668.65412
81	53482.778
82	53318.5012
83	53270.40999
84	53133.98645
85	52987.60735
86	52707.04256
87	52536.49118
88	52267.65414
89	52168.29722
90	51977.8805
91	51785.18233
92	51668.08612
93	51416.32904
94	51272.15931
95	51040.83694
96	50989.15389
97	50850.83994
98	50739.40842
99	50579.44872
